fecha,valor,parametro,tipo
2023-11-17,38.77666667,NO2,max
2023-11-18,37.02541667,NO2,max
2023-11-14,36.42916667,NO2,max
2023-11-10,35.71416667,NO2,max
2023-11-15,34.6475,NO2,max
2023-11-20,24.32833333,NO2,min
2023-11-19,25.52125,NO2,min
2023-11-26,26.27333333,NO2,min
2023-11-21,28.78333333,NO2,min
2023-11-25,29.53764706,NO2,min
2023-11-18,1789.0625,CO,max
2023-11-17,1780.95208333,CO,max
2023-11-21,1734.19791667,CO,max
2023-11-16,1720.83958333,CO,max
2023-11-15,1714.16041667,CO,max
2023-11-26,210.39375,CO,min
2023-11-25,221.07307692,CO,min
2023-11-24,513.34166667,CO,min
2023-11-23,550.64090909,CO,min
2023-11-22,962.75416667,CO,min
2023-09-28,16.87291667,PM2.5,max
2023-09-01,16.73458333,PM2.5,max
2023-08-10,16.62416667,PM2.5,max
2023-08-18,15.28652174,PM2.5,max
2023-11-23,14.43375,PM2.5,max
2023-06-18,3.96125,PM2.5,min
2023-06-12,4.07375,PM2.5,min
2023-10-29,4.16416667,PM2.5,min
2023-11-19,4.21166667,PM2.5,min
2023-06-25,4.24478261,PM2.5,min
2023-08-10,36.74125,PM10,max
2023-09-01,34.69625,PM10,max
2023-08-31,33.805,PM10,max
2023-07-28,33.30666667,PM10,max
2023-05-08,32.97291667,PM10,max
2023-11-19,6.90041667,PM10,min
2023-06-25,9.0925,PM10,min
2023-06-19,9.1,PM10,min
2023-10-29,9.56958333,PM10,min
2023-06-18,10.12875,PM10,min
2023-11-22,5.90454545,SO2,max
2023-11-11,4.22625,SO2,max
2023-11-17,4.18913043,SO2,max
2023-11-15,3.80041667,SO2,max
2023-11-18,3.755,SO2,max
2023-11-19,2.665,SO2,min
2023-11-24,2.81,SO2,min
2023-11-26,2.83933333,SO2,min
2023-11-25,3.02529412,SO2,min
2023-11-21,3.03347826,SO2,min
